id,nombre,sistema_principal,prior_inc,prior_prev,w_priors
p_444,Patologia_444,Cardiovascular,0.8128,0.8681,0.3
p_445,Patologia_445,Digestivo,0.9472,0.1771,0.3
p_446,Patologia_446,Digestivo,0.986,0.6926,0.3
p_447,Patologia_447,Cardiovascular,0.7534,0.8381,0.3
p_448,Patologia_448,Endocrino,0.3763,0.9446,0.3
p_449,Patologia_449,Endocrino,0.0835,0.6832,0.3
p_450,Patologia_450,Neurológico,0.7771,0.4972,0.3
p_451,Patologia_451,Cardiovascular,0.5584,0.6178,0.3
p_452,Patologia_452,Endocrino,0.4242,0.8689,0.3
p_453,Patologia_453,Respiratorio,0.9064,0.5706,0.3
p_454,Patologia_454,Digestivo,0.1112,0.0304,0.3
p_455,Patologia_455,Neurológico,0.4926,0.9309,0.3
p_456,Patologia_456,Cardiovascular,0.0114,0.6895,0.3
p_457,Patologia_457,Neurológico,0.4687,0.6765,0.3
p_458,Patologia_458,Endocrino,0.0563,0.2157,0.3
p_459,Patologia_459,Endocrino,0.1188,0.6589,0.3
p_460,Patologia_460,Respiratorio,0.1175,0.3939,0.3
p_461,Patologia_461,Digestivo,0.6492,0.6512,0.3
p_462,Patologia_462,Cardiovascular,0.746,0.1066,0.3
p_463,Patologia_463,Neurológico,0.5834,0.6578,0.3
p_464,Patologia_464,Digestivo,0.9622,0.9994,0.3
p_465,Patologia_465,Endocrino,0.3749,0.0482,0.3
p_466,Patologia_466,Digestivo,0.2857,0.9772,0.3
p_467,Patologia_467,Neurológico,0.8686,0.4069,0.3
p_468,Patologia_468,Digestivo,0.2236,0.8708,0.3
p_469,Patologia_469,Endocrino,0.9632,0.7824,0.3
p_470,Patologia_470,Digestivo,0.0122,0.567,0.3
p_471,Patologia_471,Cardiovascular,0.9699,0.7384,0.3
p_472,Patologia_472,Digestivo,0.0432,0.8785,0.3
p_473,Patologia_473,Cardiovascular,0.8911,0.4041,0.3
p_474,Patologia_474,Digestivo,0.5277,0.327,0.3
p_475,Patologia_475,Endocrino,0.993,0.6676,0.3
p_476,Patologia_476,Respiratorio,0.0738,0.8078,0.3
p_477,Patologia_477,Respiratorio,0.5539,0.7623,0.3
p_478,Patologia_478,Cardiovascular,0.9693,0.7978,0.3
p_479,Patologia_479,Cardiovascular,0.5231,0.4356,0.3
p_480,Patologia_480,Respiratorio,0.6294,0.8178,0.3
p_481,Patologia_481,Endocrino,0.6957,0.1202,0.3
p_482,Patologia_482,Endocrino,0.4545,0.5445,0.3
p_483,Patologia_483,Digestivo,0.6276,0.0058,0.3
p_484,Patologia_484,Cardiovascular,0.5843,0.3246,0.3
p_485,Patologia_485,Endocrino,0.9012,0.3665,0.3
p_486,Patologia_486,Neurológico,0.0454,0.3962,0.3
p_487,Patologia_487,Digestivo,0.281,0.6955,0.3
p_488,Patologia_488,Digestivo,0.9504,0.3886,0.3
p_489,Patologia_489,Respiratorio,0.8903,0.4487,0.3
p_490,Patologia_490,Cardiovascular,0.4557,0.2375,0.3
p_491,Patologia_491,Endocrino,0.6201,0.3733,0.3
p_492,Patologia_492,Endocrino,0.2774,0.2273,0.3
p_493,Patologia_493,Digestivo,0.1881,0.0732,0.3
p_494,Patologia_494,Cardiovascular,0.4637,0.6034,0.3
p_495,Patologia_495,Cardiovascular,0.3534,0.6682,0.3
p_496,Patologia_496,Cardiovascular,0.5837,0.6195,0.3
p_497,Patologia_497,Respiratorio,0.0777,0.4635,0.3
p_498,Patologia_498,Endocrino,0.9744,0.3798,0.3
p_499,Patologia_499,Cardiovascular,0.9862,0.8633,0.3
p_500,Patologia_500,Respiratorio,0.6982,0.5191,0.3
p_501,Patologia_501,Neurológico,0.5361,0.4792,0.3
p_502,Patologia_502,Digestivo,0.3095,0.0256,0.3
p_503,Patologia_503,Endocrino,0.8138,0.3412,0.3
p_504,Patologia_504,Endocrino,0.6847,0.3802,0.3
p_505,Patologia_505,Digestivo,0.1626,0.3988,0.3
p_506,Patologia_506,Neurológico,0.9109,0.5802,0.3
p_507,Patologia_507,Respiratorio,0.8225,0.5336,0.3
p_508,Patologia_508,Digestivo,0.9498,0.6079,0.3
p_509,Patologia_509,Respiratorio,0.7257,0.7649,0.3
p_510,Patologia_510,Respiratorio,0.6134,0.813,0.3
p_511,Patologia_511,Respiratorio,0.4182,0.7181,0.3
p_512,Patologia_512,Neurológico,0.9327,0.9555,0.3
p_513,Patologia_513,Neurológico,0.8661,0.0182,0.3
p_514,Patologia_514,Respiratorio,0.0452,0.1958,0.3
p_515,Patologia_515,Cardiovascular,0.0264,0.0076,0.3
p_516,Patologia_516,Endocrino,0.3765,0.6475,0.3
p_517,Patologia_517,Neurológico,0.8106,0.898,0.3
p_518,Patologia_518,Cardiovascular,0.9873,0.2435,0.3
p_519,Patologia_519,Cardiovascular,0.1504,0.927,0.3
p_520,Patologia_520,Endocrino,0.5941,0.0603,0.3
p_521,Patologia_521,Respiratorio,0.3809,0.9344,0.3
p_522,Patologia_522,Cardiovascular,0.9699,0.3516,0.3
p_523,Patologia_523,Cardiovascular,0.8421,0.1014,0.3
p_524,Patologia_524,Cardiovascular,0.8383,0.4859,0.3
p_525,Patologia_525,Respiratorio,0.4687,0.2568,0.3
p_526,Patologia_526,Respiratorio,0.4148,0.2849,0.3
p_527,Patologia_527,Neurológico,0.2734,0.3073,0.3
p_528,Patologia_528,Neurológico,0.0564,0.803,0.3
p_529,Patologia_529,Cardiovascular,0.8647,0.5392,0.3
p_530,Patologia_530,Respiratorio,0.8129,0.3113,0.3
p_531,Patologia_531,Respiratorio,0.9997,0.6103,0.3
p_532,Patologia_532,Endocrino,0.9966,0.7162,0.3
p_533,Patologia_533,Cardiovascular,0.5554,0.2726,0.3
p_534,Patologia_534,Neurológico,0.769,0.4135,0.3
p_535,Patologia_535,Endocrino,0.9448,0.1219,0.3
p_536,Patologia_536,Respiratorio,0.8496,0.1811,0.3
p_537,Patologia_537,Neurológico,0.2473,0.6811,0.3
p_538,Patologia_538,Cardiovascular,0.4505,0.1814,0.3
p_539,Patologia_539,Respiratorio,0.1292,0.5252,0.3
p_540,Patologia_540,Cardiovascular,0.9541,0.709,0.3
p_541,Patologia_541,Endocrino,0.6062,0.1069,0.3
p_542,Patologia_542,Endocrino,0.2286,0.5673,0.3
p_543,Patologia_543,Endocrino,0.6717,0.2566,0.3
p_544,Patologia_544,Digestivo,0.6181,0.9629,0.3
p_545,Patologia_545,Cardiovascular,0.3582,0.4835,0.3
p_546,Patologia_546,Endocrino,0.1136,0.806,0.3
p_547,Patologia_547,Endocrino,0.6716,0.5502,0.3
p_548,Patologia_548,Cardiovascular,0.5203,0.0434,0.3
p_549,Patologia_549,Endocrino,0.7723,0.6332,0.3
p_550,Patologia_550,Cardiovascular,0.5202,0.9514,0.3
p_551,Patologia_551,Respiratorio,0.8522,0.6016,0.3
p_552,Patologia_552,Cardiovascular,0.5519,0.8192,0.3
p_553,Patologia_553,Cardiovascular,0.5609,0.8842,0.3
p_554,Patologia_554,Digestivo,0.8767,0.2281,0.3
p_555,Patologia_555,Respiratorio,0.4035,0.212,0.3
p_556,Patologia_556,Digestivo,0.134,0.611,0.3
p_557,Patologia_557,Endocrino,0.0288,0.411,0.3
p_558,Patologia_558,Cardiovascular,0.7551,0.8399,0.3
p_559,Patologia_559,Respiratorio,0.6203,0.9,0.3
p_560,Patologia_560,Digestivo,0.7041,0.3534,0.3
p_561,Patologia_561,Cardiovascular,0.213,0.2369,0.3
p_562,Patologia_562,Neurológico,0.1364,0.7805,0.3
p_563,Patologia_563,Digestivo,0.0145,0.2748,0.3
p_564,Patologia_564,Respiratorio,0.3506,0.8226,0.3
p_565,Patologia_565,Digestivo,0.5899,0.4237,0.3
p_566,Patologia_566,Digestivo,0.3922,0.6675,0.3
p_567,Patologia_567,Digestivo,0.4375,0.0955,0.3
p_568,Patologia_568,Endocrino,0.9042,0.6239,0.3
p_569,Patologia_569,Neurológico,0.3483,0.4518,0.3
p_570,Patologia_570,Respiratorio,0.514,0.5866,0.3
p_571,Patologia_571,Respiratorio,0.7837,0.168,0.3
p_572,Patologia_572,Respiratorio,0.3965,0.7369,0.3
p_573,Patologia_573,Cardiovascular,0.6221,0.8628,0.3
p_574,Patologia_574,Respiratorio,0.8624,0.2167,0.3
p_575,Patologia_575,Respiratorio,0.9495,0.0957,0.3
p_576,Patologia_576,Neurológico,0.1471,0.0236,0.3
p_577,Patologia_577,Cardiovascular,0.9266,0.642,0.3
p_578,Patologia_578,Cardiovascular,0.4921,0.6071,0.3
p_579,Patologia_579,Digestivo,0.2582,0.5467,0.3
p_580,Patologia_580,Endocrino,0.4591,0.2319,0.3
p_581,Patologia_581,Cardiovascular,0.98,0.3909,0.3
p_582,Patologia_582,Cardiovascular,0.4926,0.5945,0.3
p_583,Patologia_583,Neurológico,0.3288,0.4968,0.3
p_584,Patologia_584,Respiratorio,0.6334,0.9878,0.3
p_585,Patologia_585,Cardiovascular,0.2401,0.1364,0.3
p_586,Patologia_586,Cardiovascular,0.0759,0.6951,0.3
p_587,Patologia_587,Endocrino,0.1289,0.4043,0.3
p_588,Patologia_588,Neurológico,0.128,0.4282,0.3
p_589,Patologia_589,Endocrino,0.1519,0.7176,0.3
p_590,Patologia_590,Cardiovascular,0.1388,0.6924,0.3
p_591,Patologia_591,Cardiovascular,0.6409,0.9913,0.3
p_592,Patologia_592,Neurológico,0.1819,0.1284,0.3
p_593,Patologia_593,Digestivo,0.3457,0.1041,0.3
p_594,Patologia_594,Digestivo,0.8968,0.7243,0.3
p_595,Patologia_595,Cardiovascular,0.474,0.5784,0.3
p_596,Patologia_596,Cardiovascular,0.6676,0.2742,0.3
p_597,Patologia_597,Endocrino,0.1723,0.0794,0.3
p_598,Patologia_598,Endocrino,0.1923,0.0857,0.3
p_599,Patologia_599,Endocrino,0.0409,0.8942,0.3
p_600,Patologia_600,Respiratorio,0.1689,0.1919,0.3
p_601,Patologia_601,Cardiovascular,0.2786,0.3234,0.3
p_602,Patologia_602,Respiratorio,0.177,0.2267,0.3
p_603,Patologia_603,Digestivo,0.0887,0.355,0.3
p_604,Patologia_604,Cardiovascular,0.1206,0.0694,0.3
p_605,Patologia_605,Cardiovascular,0.4608,0.5191,0.3
p_606,Patologia_606,Neurológico,0.2063,0.0676,0.3
p_607,Patologia_607,Cardiovascular,0.3643,0.8004,0.3
p_608,Patologia_608,Digestivo,0.5034,0.2337,0.3
p_609,Patologia_609,Cardiovascular,0.6904,0.54,0.3
p_610,Patologia_610,Respiratorio,0.0393,0.8801,0.3
p_611,Patologia_611,Cardiovascular,0.7994,0.6509,0.3
p_612,Patologia_612,Respiratorio,0.6279,0.533,0.3
p_613,Patologia_613,Endocrino,0.0818,0.3243,0.3
p_614,Patologia_614,Endocrino,0.8736,0.333,0.3
p_615,Patologia_615,Neurológico,0.9209,0.6695,0.3
p_616,Patologia_616,Cardiovascular,0.0611,0.9941,0.3
p_617,Patologia_617,Endocrino,0.2769,0.6618,0.3
p_618,Patologia_618,Endocrino,0.8062,0.5578,0.3
p_619,Patologia_619,Neurológico,0.7483,0.7307,0.3
p_620,Patologia_620,Neurológico,0.1845,0.4652,0.3
p_621,Patologia_621,Cardiovascular,0.2093,0.0601,0.3
p_622,Patologia_622,Respiratorio,0.3705,0.5623,0.3
p_623,Patologia_623,Cardiovascular,0.4845,0.9576,0.3
p_624,Patologia_624,Respiratorio,0.6183,0.1753,0.3
p_625,Patologia_625,Neurológico,0.3689,0.69,0.3
p_626,Patologia_626,Digestivo,0.4625,0.2009,0.3
p_627,Patologia_627,Cardiovascular,0.7475,0.5358,0.3
p_628,Patologia_628,Digestivo,0.0367,0.0967,0.3
p_629,Patologia_629,Respiratorio,0.2524,0.4504,0.3
p_630,Patologia_630,Cardiovascular,0.7133,0.7562,0.3
p_631,Patologia_631,Digestivo,0.8952,0.3476,0.3
p_632,Patologia_632,Digestivo,0.5117,0.6649,0.3
p_633,Patologia_633,Cardiovascular,0.5321,0.7954,0.3
p_634,Patologia_634,Digestivo,0.1072,0.9272,0.3
p_635,Patologia_635,Cardiovascular,0.4474,0.2346,0.3
p_636,Patologia_636,Digestivo,0.5326,0.3993,0.3
p_637,Patologia_637,Neurológico,0.2425,0.1524,0.3
p_638,Patologia_638,Cardiovascular,0.2692,0.9925,0.3
p_639,Patologia_639,Neurológico,0.3773,0.927,0.3
p_640,Patologia_640,Endocrino,0.0201,0.54,0.3
p_641,Patologia_641,Neurológico,0.3221,0.842,0.3
p_642,Patologia_642,Digestivo,0.2114,0.521,0.3
p_643,Patologia_643,Respiratorio,0.3275,0.6236,0.3
p_644,Patologia_644,Neurológico,0.1198,0.0891,0.3
p_645,Patologia_645,Neurológico,0.8905,0.7553,0.3
p_646,Patologia_646,Neurológico,0.5936,0.1277,0.3
p_647,Patologia_647,Respiratorio,0.6791,0.8261,0.3
p_648,Patologia_648,Respiratorio,0.7892,0.782,0.3
p_649,Patologia_649,Neurológico,0.4984,0.7087,0.3
p_650,Patologia_650,Endocrino,0.0869,0.0362,0.3
p_651,Patologia_651,Respiratorio,0.5371,0.3031,0.3
p_652,Patologia_652,Respiratorio,0.5868,0.2631,0.3
p_653,Patologia_653,Respiratorio,0.7454,0.3601,0.3
p_654,Patologia_654,Cardiovascular,0.4317,0.0876,0.3
p_655,Patologia_655,Neurológico,0.1276,0.937,0.3
p_656,Patologia_656,Endocrino,0.2838,0.5538,0.3
p_657,Patologia_657,Respiratorio,0.3631,0.3055,0.3
p_658,Patologia_658,Cardiovascular,0.6459,0.397,0.3
p_659,Patologia_659,Digestivo,0.5708,0.4472,0.3
p_660,Patologia_660,Digestivo,0.3561,0.6006,0.3
p_661,Patologia_661,Respiratorio,0.9865,0.5157,0.3
p_662,Patologia_662,Endocrino,0.6058,0.9194,0.3
p_663,Patologia_663,Endocrino,0.2372,0.497,0.3
p_664,Patologia_664,Neurológico,0.1018,0.9922,0.3
p_665,Patologia_665,Respiratorio,0.1529,0.8514,0.3
p_666,Patologia_666,Digestivo,0.246,0.2085,0.3
p_667,Patologia_667,Neurológico,0.1607,0.9306,0.3
p_668,Patologia_668,Endocrino,0.1866,0.1164,0.3
p_669,Patologia_669,Neurológico,0.2851,0.8174,0.3
p_670,Patologia_670,Digestivo,0.1734,0.3806,0.3
p_671,Patologia_671,Endocrino,0.8968,0.878,0.3
p_672,Patologia_672,Cardiovascular,0.0802,0.8681,0.3
p_673,Patologia_673,Cardiovascular,0.5245,0.8059,0.3
p_674,Patologia_674,Respiratorio,0.4104,0.79,0.3
p_675,Patologia_675,Neurológico,0.9824,0.3047,0.3
p_676,Patologia_676,Endocrino,0.112,0.0809,0.3
p_677,Patologia_677,Respiratorio,0.3979,0.403,0.3
p_678,Patologia_678,Neurológico,0.9695,0.1735,0.3
p_679,Patologia_679,Digestivo,0.8655,0.695,0.3
p_680,Patologia_680,Endocrino,0.8171,0.3461,0.3
p_681,Patologia_681,Neurológico,0.2579,0.9756,0.3
p_682,Patologia_682,Endocrino,0.1709,0.641,0.3
p_683,Patologia_683,Neurológico,0.6686,0.8225,0.3
p_684,Patologia_684,Digestivo,0.9294,0.1325,0.3
p_685,Patologia_685,Endocrino,0.5568,0.862,0.3
p_686,Patologia_686,Cardiovascular,0.5716,0.9228,0.3
p_687,Patologia_687,Digestivo,0.28,0.4871,0.3
p_688,Patologia_688,Neurológico,0.7695,0.6063,0.3
p_689,Patologia_689,Endocrino,0.187,0.7648,0.3
p_690,Patologia_690,Digestivo,0.3237,0.1748,0.3
p_691,Patologia_691,Neurológico,0.4254,0.5026,0.3
p_692,Patologia_692,Cardiovascular,0.5076,0.3987,0.3
p_693,Patologia_693,Cardiovascular,0.2424,0.1464,0.3
p_694,Patologia_694,Neurológico,0.1148,0.3675,0.3
p_695,Patologia_695,Cardiovascular,0.6106,0.0682,0.3
p_696,Patologia_696,Digestivo,0.2886,0.0258,0.3
p_697,Patologia_697,Cardiovascular,0.5812,0.1352,0.3
p_698,Patologia_698,Respiratorio,0.1544,0.9631,0.3
p_699,Patologia_699,Cardiovascular,0.4811,0.5495,0.3
p_700,Patologia_700,Respiratorio,0.5326,0.9658,0.3
p_701,Patologia_701,Endocrino,0.0518,0.4325,0.3
p_702,Patologia_702,Digestivo,0.3366,0.3118,0.3
p_703,Patologia_703,Endocrino,0.1344,0.5061,0.3
p_704,Patologia_704,Endocrino,0.0634,0.4395,0.3
p_705,Patologia_705,Cardiovascular,0.99,0.1057,0.3
p_706,Patologia_706,Cardiovascular,0.3224,0.6408,0.3
p_707,Patologia_707,Cardiovascular,0.8099,0.216,0.3
p_708,Patologia_708,Endocrino,0.2546,0.6196,0.3
p_709,Patologia_709,Digestivo,0.6815,0.6502,0.3
p_710,Patologia_710,Digestivo,0.7602,0.152,0.3
p_711,Patologia_711,Respiratorio,0.5956,0.0613,0.3
p_712,Patologia_712,Neurológico,0.4716,0.7808,0.3
p_713,Patologia_713,Digestivo,0.4118,0.4598,0.3
p_714,Patologia_714,Cardiovascular,0.3489,0.0582,0.3
p_715,Patologia_715,Respiratorio,0.9295,0.9949,0.3
p_716,Patologia_716,Cardiovascular,0.8306,0.0578,0.3
p_717,Patologia_717,Endocrino,0.965,0.695,0.3
p_718,Patologia_718,Endocrino,0.1243,0.9837,0.3
p_719,Patologia_719,Cardiovascular,0.7309,0.2392,0.3
p_720,Patologia_720,Digestivo,0.9383,0.1422,0.3
p_721,Patologia_721,Neurológico,0.1812,0.1214,0.3
p_722,Patologia_722,Cardiovascular,0.0665,0.3033,0.3
p_723,Patologia_723,Digestivo,0.7411,0.101,0.3
p_724,Patologia_724,Respiratorio,0.5745,0.6922,0.3
p_725,Patologia_725,Cardiovascular,0.8418,0.0623,0.3
p_726,Patologia_726,Respiratorio,0.1398,0.5094,0.3
p_727,Patologia_727,Digestivo,0.7953,0.9967,0.3
p_728,Patologia_728,Digestivo,0.2016,0.814,0.3
p_729,Patologia_729,Digestivo,0.1637,0.6152,0.3
p_730,Patologia_730,Digestivo,0.1643,0.3063,0.3
p_731,Patologia_731,Endocrino,0.8146,0.6239,0.3
p_732,Patologia_732,Digestivo,0.6652,0.527,0.3
p_733,Patologia_733,Endocrino,0.5231,0.4261,0.3
p_734,Patologia_734,Neurológico,0.3588,0.1307,0.3
p_735,Patologia_735,Endocrino,0.8772,0.8866,0.3
p_736,Patologia_736,Respiratorio,0.3924,0.4498,0.3
p_737,Patologia_737,Neurológico,0.8166,0.1946,0.3
p_738,Patologia_738,Respiratorio,0.4391,0.3678,0.3
p_739,Patologia_739,Cardiovascular,0.3769,0.4141,0.3
p_740,Patologia_740,Cardiovascular,0.4627,0.8275,0.3
p_741,Patologia_741,Endocrino,0.3014,0.7336,0.3
p_742,Patologia_742,Respiratorio,0.7476,0.7693,0.3
p_743,Patologia_743,Cardiovascular,0.5027,0.011,0.3
p_744,Patologia_744,Cardiovascular,0.2322,0.4162,0.3
p_745,Patologia_745,Cardiovascular,0.8996,0.4813,0.3
p_746,Patologia_746,Neurológico,0.3839,0.0192,0.3
p_747,Patologia_747,Neurológico,0.5436,0.2598,0.3
p_748,Patologia_748,Digestivo,0.9065,0.7603,0.3
p_749,Patologia_749,Respiratorio,0.6242,0.1371,0.3
p_750,Patologia_750,Cardiovascular,0.1169,0.5353,0.3
p_751,Patologia_751,Respiratorio,0.9398,0.2152,0.3
p_752,Patologia_752,Digestivo,0.6277,0.0121,0.3
p_753,Patologia_753,Endocrino,0.3349,0.2412,0.3
p_754,Patologia_754,Digestivo,0.1393,0.9759,0.3
p_755,Patologia_755,Cardiovascular,0.794,0.8015,0.3
p_756,Patologia_756,Endocrino,0.6201,0.9596,0.3
p_757,Patologia_757,Endocrino,0.5335,0.4879,0.3
p_758,Patologia_758,Digestivo,0.8939,0.1097,0.3
p_759,Patologia_759,Cardiovascular,0.7886,0.548,0.3
p_760,Patologia_760,Endocrino,0.1517,0.4544,0.3
p_761,Patologia_761,Digestivo,0.3117,0.8444,0.3
p_762,Patologia_762,Digestivo,0.2485,0.0981,0.3
p_763,Patologia_763,Cardiovascular,0.7439,0.4882,0.3
p_764,Patologia_764,Digestivo,0.0335,0.15,0.3
p_765,Patologia_765,Digestivo,0.5699,0.3247,0.3
p_766,Patologia_766,Digestivo,0.7625,0.7374,0.3
p_767,Patologia_767,Respiratorio,0.8768,0.476,0.3
p_768,Patologia_768,Neurológico,0.3421,0.3759,0.3
p_769,Patologia_769,Respiratorio,0.8213,0.3945,0.3
p_770,Patologia_770,Digestivo,0.1106,0.4594,0.3
p_771,Patologia_771,Neurológico,0.8465,0.785,0.3
p_772,Patologia_772,Endocrino,0.1275,0.8921,0.3
p_773,Patologia_773,Respiratorio,0.3973,0.9553,0.3
p_774,Patologia_774,Respiratorio,0.7973,0.7869,0.3
p_775,Patologia_775,Respiratorio,0.1499,0.3154,0.3
p_776,Patologia_776,Cardiovascular,0.2293,0.6881,0.3
p_777,Patologia_777,Digestivo,0.7223,0.4376,0.3
p_778,Patologia_778,Endocrino,0.72,0.2547,0.3
p_779,Patologia_779,Endocrino,0.6411,0.8409,0.3
p_780,Patologia_780,Endocrino,0.6939,0.0384,0.3
p_781,Patologia_781,Digestivo,0.5427,0.9018,0.3
p_782,Patologia_782,Neurológico,0.2518,0.4615,0.3
p_783,Patologia_783,Respiratorio,0.3457,0.6372,0.3
p_784,Patologia_784,Digestivo,0.1816,0.6594,0.3
p_785,Patologia_785,Respiratorio,0.9085,0.8951,0.3
p_786,Patologia_786,Digestivo,0.5834,0.6367,0.3
p_787,Patologia_787,Respiratorio,0.4009,0.6139,0.3
p_788,Patologia_788,Digestivo,0.462,0.0667,0.3
p_789,Patologia_789,Neurológico,0.9473,0.5184,0.3
p_790,Patologia_790,Endocrino,0.1534,0.1502,0.3
p_791,Patologia_791,Respiratorio,0.5862,0.7374,0.3
p_792,Patologia_792,Digestivo,0.5059,0.5122,0.3
p_793,Patologia_793,Neurológico,0.6115,0.6802,0.3
p_794,Patologia_794,Neurológico,0.0181,0.0417,0.3
p_795,Patologia_795,Endocrino,0.8721,0.0848,0.3
p_796,Patologia_796,Digestivo,0.9321,0.7163,0.3
p_797,Patologia_797,Respiratorio,0.5651,0.0721,0.3
p_798,Patologia_798,Cardiovascular,0.6967,0.0713,0.3
p_799,Patologia_799,Neurológico,0.9225,0.0121,0.3
p_800,Patologia_800,Neurológico,0.7072,0.9565,0.3
p_801,Patologia_801,Endocrino,0.1525,0.7375,0.3
p_802,Patologia_802,Digestivo,0.5763,0.3533,0.3
p_803,Patologia_803,Cardiovascular,0.6067,0.2965,0.3
p_804,Patologia_804,Cardiovascular,0.4241,0.3497,0.3
p_805,Patologia_805,Cardiovascular,0.7364,0.7747,0.3
p_806,Patologia_806,Digestivo,0.9344,0.6614,0.3
p_807,Patologia_807,Respiratorio,0.9256,0.1852,0.3
p_808,Patologia_808,Neurológico,0.4508,0.1741,0.3
p_809,Patologia_809,Digestivo,0.1132,0.0984,0.3
p_810,Patologia_810,Cardiovascular,0.9848,0.6603,0.3
p_811,Patologia_811,Neurológico,0.8389,0.7644,0.3
p_812,Patologia_812,Neurológico,0.1247,0.265,0.3
p_813,Patologia_813,Cardiovascular,0.9208,0.0209,0.3
p_814,Patologia_814,Cardiovascular,0.8699,0.0822,0.3
p_815,Patologia_815,Neurológico,0.5188,0.9679,0.3
p_816,Patologia_816,Endocrino,0.5913,0.2954,0.3
p_817,Patologia_817,Neurológico,0.399,0.7692,0.3
p_818,Patologia_818,Respiratorio,0.0548,0.6247,0.3
p_819,Patologia_819,Respiratorio,0.3352,0.3819,0.3
p_820,Patologia_820,Endocrino,0.8029,0.2057,0.3
p_821,Patologia_821,Digestivo,0.0046,0.1214,0.3
p_822,Patologia_822,Neurológico,0.3335,0.615,0.3
p_823,Patologia_823,Respiratorio,0.3982,0.7746,0.3
p_824,Patologia_824,Neurológico,0.5374,0.6439,0.3
p_825,Patologia_825,Endocrino,0.9199,0.5303,0.3
p_826,Patologia_826,Cardiovascular,0.3463,0.042,0.3
p_827,Patologia_827,Endocrino,0.347,0.9685,0.3
p_828,Patologia_828,Endocrino,0.7375,0.7987,0.3
p_829,Patologia_829,Endocrino,0.4522,0.2928,0.3
p_830,Patologia_830,Respiratorio,0.2246,0.98,0.3
p_831,Patologia_831,Endocrino,0.4524,0.6019,0.3
p_832,Patologia_832,Cardiovascular,0.1409,0.5824,0.3
p_833,Patologia_833,Cardiovascular,0.1764,0.7481,0.3
p_834,Patologia_834,Cardiovascular,0.4984,0.8118,0.3
p_835,Patologia_835,Digestivo,0.4189,0.6565,0.3
p_836,Patologia_836,Endocrino,0.9148,0.1281,0.3
p_837,Patologia_837,Cardiovascular,0.3624,0.3383,0.3
p_838,Patologia_838,Digestivo,0.5806,0.9281,0.3
p_839,Patologia_839,Endocrino,0.6323,0.2246,0.3
p_840,Patologia_840,Endocrino,0.0131,0.3722,0.3
p_841,Patologia_841,Neurológico,0.6635,0.4321,0.3
p_842,Patologia_842,Endocrino,0.178,0.4394,0.3
p_843,Patologia_843,Neurológico,0.9611,0.6129,0.3
p_844,Patologia_844,Respiratorio,0.1487,0.9431,0.3
p_845,Patologia_845,Respiratorio,0.4146,0.2407,0.3
p_846,Patologia_846,Digestivo,0.0853,0.1215,0.3
p_847,Patologia_847,Neurológico,0.9969,0.1975,0.3
p_848,Patologia_848,Respiratorio,0.5022,0.8869,0.3
p_849,Patologia_849,Respiratorio,0.5954,0.6458,0.3
p_850,Patologia_850,Respiratorio,0.0671,0.2859,0.3
p_851,Patologia_851,Endocrino,0.75,0.8159,0.3
p_852,Patologia_852,Neurológico,0.2099,0.8614,0.3
p_853,Patologia_853,Respiratorio,0.8981,0.8465,0.3
p_854,Patologia_854,Neurológico,0.2051,0.9189,0.3
p_855,Patologia_855,Cardiovascular,0.1907,0.2522,0.3
p_856,Patologia_856,Cardiovascular,0.0365,0.755,0.3
p_857,Patologia_857,Endocrino,0.4721,0.4605,0.3
p_858,Patologia_858,Cardiovascular,0.5648,0.842,0.3
p_859,Patologia_859,Digestivo,0.0657,0.7285,0.3
p_860,Patologia_860,Neurológico,0.7755,0.7764,0.3
p_861,Patologia_861,Respiratorio,0.4533,0.6562,0.3
p_862,Patologia_862,Digestivo,0.5244,0.1774,0.3
p_863,Patologia_863,Digestivo,0.4408,0.545,0.3
p_864,Patologia_864,Cardiovascular,0.4008,0.9847,0.3
p_865,Patologia_865,Neurológico,0.5596,0.9374,0.3
p_866,Patologia_866,Respiratorio,0.1552,0.0432,0.3
p_867,Patologia_867,Digestivo,0.1819,0.1648,0.3
p_868,Patologia_868,Endocrino,0.8618,0.1317,0.3
p_869,Patologia_869,Respiratorio,0.9461,0.726,0.3
p_870,Patologia_870,Cardiovascular,0.3733,0.8178,0.3
p_871,Patologia_871,Neurológico,0.2707,0.2135,0.3
p_872,Patologia_872,Endocrino,0.644,0.5059,0.3
p_873,Patologia_873,Respiratorio,0.4087,0.8407,0.3
p_874,Patologia_874,Respiratorio,0.0254,0.7328,0.3
p_875,Patologia_875,Digestivo,0.1562,0.5422,0.3
p_876,Patologia_876,Respiratorio,0.716,0.5903,0.3
p_877,Patologia_877,Neurológico,0.6589,0.5084,0.3
p_878,Patologia_878,Neurológico,0.0271,0.2975,0.3
p_879,Patologia_879,Respiratorio,0.222,0.565,0.3
p_880,Patologia_880,Digestivo,0.2311,0.6889,0.3
p_881,Patologia_881,Endocrino,0.6719,0.8733,0.3
p_882,Patologia_882,Endocrino,0.0197,0.6363,0.3
p_883,Patologia_883,Digestivo,0.1041,0.7611,0.3
p_884,Patologia_884,Cardiovascular,0.7999,0.1601,0.3
p_885,Patologia_885,Neurológico,0.1785,0.4616,0.3
p_886,Patologia_886,Cardiovascular,0.6527,0.0093,0.3
