from,to,exp,tol,peso,sensibilidad,especificidad,obligatorio
a210,x1657,0.65,0.35,0.4,0.71,0.28,False
a210,x2953,0.84,0.32,0.91,0.8,0.74,False
a210,x1649,0.83,0.28,0.71,0.49,0.89,False
a210,x2700,0.86,0.4,0.43,0.72,0.88,False
a210,x1546,0.77,0.41,0.55,0.89,0.78,True
a210,x2103,0.92,0.46,0.51,0.97,0.79,True
a210,x1209,0.68,0.19,0.9,0.95,0.79,True
a210,x2539,0.92,0.11,0.45,0.91,0.92,True
a210,x1498,0.93,0.26,0.24,0.46,0.41,True
a210,x1282,0.66,0.44,0.77,0.66,0.88,False
a210,x570,0.82,0.17,0.68,0.5,0.86,False
a210,x799,0.67,0.4,0.87,0.75,0.9,False
a210,x293,0.9,0.11,0.34,0.83,0.88,False
a210,x445,0.85,0.47,0.97,0.54,0.72,False
a211,x813,0.52,0.4,0.42,0.46,0.54,True
a211,x1522,0.54,0.22,0.8,0.99,0.28,False
a211,x1138,0.61,0.13,0.74,0.41,0.62,True
a211,x298,0.86,0.37,0.71,0.47,0.36,False
a211,x2545,0.97,0.47,0.37,0.91,0.79,True
a211,x105,0.62,0.46,0.72,0.83,0.74,False
a211,x1243,0.67,0.4,0.21,0.59,0.59,False
a211,x2480,0.97,0.46,0.98,0.51,0.9,True
a211,x1934,0.85,0.47,0.25,0.73,0.96,True
a212,x1433,0.62,0.46,0.8,0.51,0.85,False
a212,x2199,0.54,0.35,0.42,0.84,0.9,True
a212,x2682,0.96,0.3,0.54,0.46,0.61,True
a212,x960,0.86,0.31,0.64,0.64,0.63,True
a212,x659,0.56,0.32,0.83,0.59,0.31,True
a212,x302,0.92,0.3,0.93,0.65,0.56,True
a212,x1211,0.52,0.31,0.93,0.81,0.86,False
a212,x2322,0.97,0.13,0.32,0.99,0.58,False
a212,x485,0.7,0.4,0.42,0.68,0.26,False
a212,x2659,0.65,0.38,0.41,0.94,0.48,True
a212,x1940,0.6,0.26,0.69,0.4,0.44,True
a212,x555,0.56,0.44,0.87,0.35,0.67,True
a212,x66,0.93,0.12,0.94,0.51,0.94,False
a212,x1316,0.73,0.24,0.33,0.55,0.34,True
a212,x1437,0.81,0.3,0.4,0.66,0.31,False
a212,x1131,0.53,0.49,0.64,0.81,0.35,False
a213,x1606,0.59,0.11,0.71,0.71,0.57,False
a213,x2977,0.79,0.11,0.6,0.41,0.53,True
a213,x2376,0.92,0.25,0.39,0.76,0.85,False
a213,x632,0.76,0.38,0.58,0.47,0.62,False
a213,x2302,0.58,0.26,0.61,0.99,0.54,True
a213,x2924,0.8,0.37,0.99,0.97,0.59,True
a213,x764,0.81,0.15,0.69,0.61,0.39,True
a213,x341,0.73,0.1,0.52,0.91,0.53,True
a213,x926,0.89,0.26,0.57,0.48,0.79,True
a213,x1468,0.94,0.46,0.99,0.42,0.93,False
a213,x1181,0.76,0.12,0.9,0.67,0.72,False
a213,x2692,0.53,0.36,0.34,0.92,0.49,True
a213,x2999,0.87,0.47,0.32,0.46,0.77,False
a213,x2409,0.56,0.48,0.54,0.75,0.32,False
a213,x1820,0.54,0.17,0.23,0.96,0.97,True
a213,x2169,0.52,0.23,0.68,0.9,0.79,True
a213,x150,0.75,0.13,0.99,0.7,0.23,False
a214,x2002,0.99,0.33,0.3,0.73,0.85,True
a214,x1369,0.93,0.22,0.99,0.68,0.95,False
a214,x258,0.6,0.26,0.9,0.99,0.67,True
a214,x2993,0.92,0.25,0.3,0.87,0.94,True
a214,x1543,1.0,0.4,0.7,0.58,0.59,True
a214,x2017,0.98,0.12,0.86,0.44,0.34,False
a214,x851,0.75,0.39,0.94,0.39,0.5,True
a214,x115,0.74,0.38,0.79,0.58,0.64,False
a214,x1401,0.68,0.36,0.77,0.41,0.92,True
a214,x2248,0.91,0.49,0.28,0.49,0.68,False
a215,x2340,0.93,0.22,0.64,0.78,0.59,True
a215,x582,0.59,0.18,0.92,0.37,0.24,True
a215,x1167,0.73,0.23,0.65,0.41,0.39,True
a215,x2095,0.59,0.37,0.97,0.57,0.35,False
a215,x2981,0.54,0.44,0.5,0.48,0.46,False
a215,x2475,0.84,0.43,0.73,0.31,0.54,False
a215,x2501,0.73,0.11,0.73,0.53,0.65,True
a215,x399,0.82,0.36,0.9,0.43,0.38,True
a215,x248,0.78,0.29,0.71,0.47,0.28,False
a215,x173,0.58,0.38,0.64,0.8,0.54,True
a215,x2525,0.94,0.4,0.24,1.0,0.79,False
a216,x2195,0.96,0.33,0.2,0.37,1.0,True
a216,x319,0.82,0.22,0.41,0.65,0.82,True
a216,x2710,0.95,0.15,0.63,0.34,0.68,True
a216,x723,0.86,0.2,0.95,0.68,0.51,False
a216,x1640,0.93,0.36,0.65,0.93,0.38,False
a217,x2065,0.74,0.34,0.87,0.4,0.3,False
a217,x361,0.63,0.22,0.64,0.55,0.28,False
a217,x424,0.89,0.22,0.26,0.82,0.74,True
a217,x228,0.82,0.49,0.9,0.7,0.73,True
a217,x1645,0.76,0.35,0.88,0.35,0.27,False
a217,x2382,0.77,0.13,0.85,0.81,0.62,False
a217,x257,0.61,0.26,0.82,0.61,0.25,True
a217,x2230,0.82,0.44,0.31,0.53,0.42,False
a217,x1092,0.97,0.43,0.93,0.86,0.4,True
a217,x985,0.74,0.38,0.72,0.54,0.26,False
a217,x733,0.83,0.29,0.48,0.4,0.46,False
a217,x1624,1.0,0.4,0.58,0.36,0.41,False
a217,x2530,0.78,0.45,0.23,0.91,0.93,True
a217,x2527,0.89,0.18,0.62,0.35,0.6,False
a218,x3000,0.84,0.48,0.32,0.83,0.42,True
a218,x1780,0.51,0.37,0.68,0.35,0.28,True
a218,x1127,0.98,0.4,0.87,0.75,0.29,True
a218,x427,0.79,0.18,0.94,0.31,0.81,True
a218,x658,1.0,0.49,0.89,0.43,0.49,False
a218,x89,0.91,0.42,0.61,0.7,0.6,True
a219,x2844,0.81,0.21,0.44,0.68,0.38,False
a219,x428,0.72,0.21,0.95,0.87,0.45,True
a219,x1341,0.77,0.26,0.51,0.94,0.76,False
a219,x874,0.85,0.16,0.82,0.91,0.9,False
a219,x1934,0.69,0.15,0.98,0.39,0.71,True
a219,x826,0.87,0.26,0.39,0.5,0.52,True
a219,x1224,0.97,0.36,0.22,0.45,0.36,True
a219,x1028,0.83,0.23,0.76,0.78,0.79,False
a219,x139,0.87,0.45,0.75,0.97,0.32,True
a219,x1681,0.65,0.47,0.23,0.39,0.89,True
a220,x2115,0.95,0.24,0.2,0.38,0.37,True
a220,x1886,0.76,0.26,0.6,0.66,0.61,False
a220,x54,0.86,0.29,0.48,0.94,0.3,True
a220,x965,0.8,0.21,0.24,0.67,0.69,False
a220,x315,0.51,0.43,0.72,0.46,0.81,False
a220,x2428,0.8,0.44,0.44,0.85,0.25,False
a220,x1780,0.51,0.18,0.47,0.67,0.65,True
a220,x2676,0.51,0.15,0.48,0.87,0.32,True
a220,x916,0.64,0.36,0.55,0.68,0.97,False
a220,x1526,0.84,0.16,0.36,0.36,0.7,True
a220,x473,0.93,0.3,0.32,0.69,0.94,True
a220,x1680,0.62,0.47,0.97,0.93,0.59,True
a221,x1794,0.71,0.37,0.99,0.81,0.34,False
a221,x1345,0.67,0.44,0.58,0.8,0.64,True
a221,x912,0.53,0.34,0.76,0.31,0.47,True
a221,x1045,0.96,0.23,0.53,0.95,0.87,False
a221,x1618,0.55,0.25,0.21,0.76,0.4,False
a221,x152,0.8,0.16,0.49,0.94,0.24,False
a221,x1956,0.92,0.25,0.71,0.76,0.87,True
a221,x1471,0.59,0.33,0.32,0.64,0.35,False
a221,x1950,0.76,0.28,0.65,0.89,0.49,False
a221,x1736,0.66,0.19,0.57,0.83,0.89,False
a221,x2645,0.96,0.25,0.23,0.73,0.66,True
a221,x2243,0.79,0.11,0.45,0.69,0.66,True
a221,x1279,0.64,0.47,0.34,0.48,0.2,False
a221,x2644,0.7,0.5,0.73,0.64,0.46,False
a221,x889,0.66,0.21,0.39,0.89,0.7,True
a221,x2409,0.89,0.3,0.9,0.51,0.22,True
a221,x200,0.89,0.42,0.47,0.63,0.47,True
a221,x177,0.55,0.13,0.72,0.63,0.39,True
a222,x1634,0.97,0.49,0.71,0.73,0.95,True
a222,x2112,0.58,0.31,0.34,0.54,0.44,False
a222,x1195,0.68,0.1,0.47,0.41,0.34,False
a222,x2152,0.79,0.3,0.58,0.41,0.57,False
a222,x1286,0.77,0.15,0.28,0.82,0.92,True
a222,x1486,0.99,0.14,0.75,0.65,0.21,True
a223,x2117,0.98,0.25,0.73,0.92,0.79,False
a223,x2515,0.64,0.21,0.97,0.6,0.22,False
a223,x2683,0.6,0.15,0.59,0.81,0.21,True
a223,x2565,0.81,0.44,0.46,0.53,0.48,False
a223,x2152,0.6,0.37,0.54,0.56,0.87,False
a223,x1123,0.99,0.1,0.28,0.61,0.65,False
a223,x74,0.61,0.5,0.85,0.52,0.58,False
a223,x1806,0.66,0.22,0.77,0.49,0.75,True
a223,x435,0.84,0.17,0.76,0.97,0.71,True
a223,x1876,0.66,0.23,0.91,0.42,0.61,False
a223,x668,0.88,0.29,0.49,0.41,0.42,True
a223,x1164,0.54,0.43,0.42,0.94,0.26,False
a224,x246,0.62,0.39,0.35,1.0,0.72,True
a224,x1446,0.92,0.48,0.6,0.77,0.24,True
a224,x1334,0.86,0.36,0.92,0.87,0.22,False
a224,x381,0.66,0.12,0.23,0.98,0.78,False
a224,x2999,0.83,0.49,0.61,0.85,0.3,True
a224,x752,0.92,0.13,0.6,0.44,0.8,True
a225,x2704,0.97,0.24,0.87,0.42,0.37,True
a225,x516,0.91,0.44,0.63,0.31,0.84,False
a225,x2254,0.82,0.2,0.97,0.79,0.74,True
a225,x1779,0.85,0.41,0.44,0.65,0.68,True
a225,x1362,0.95,0.16,0.94,0.67,0.25,True
a225,x2562,0.82,0.16,0.68,0.5,0.45,True
a225,x1845,0.73,0.36,0.93,0.77,0.91,True
a225,x2167,0.86,0.24,0.47,0.43,0.94,True
a226,x1228,0.77,0.44,0.27,0.68,0.31,False
a226,x519,0.73,0.11,0.37,0.76,0.23,False
a226,x2097,0.71,0.24,0.8,0.95,0.74,False
a226,x1252,0.7,0.44,0.85,0.74,0.44,True
a226,x1710,0.58,0.32,0.63,0.8,1.0,False
a226,x2226,0.58,0.39,0.71,0.86,0.71,False
a226,x1793,0.72,0.16,0.52,0.44,0.26,False
a226,x568,0.63,0.43,0.97,0.94,0.94,True
a226,x1864,0.51,0.48,0.99,0.49,0.67,False
a226,x1824,0.54,0.29,0.69,0.69,0.4,True
a226,x927,0.54,0.48,0.91,0.94,0.76,True
a226,x2900,0.61,0.48,0.44,0.59,0.58,True
a226,x1696,0.82,0.31,0.54,0.43,0.73,False
a227,x2799,0.91,0.45,0.46,0.56,0.74,False
a227,x1701,1.0,0.13,0.64,0.98,0.74,False
a227,x1281,0.97,0.29,0.35,0.45,0.48,True
a227,x1262,0.64,0.37,0.48,0.86,0.38,True
a227,x57,0.95,0.41,0.36,0.93,0.4,False
a227,x2681,0.68,0.4,0.67,0.37,0.78,True
a227,x2495,0.72,0.22,0.53,0.35,0.57,False
a227,x2646,0.71,0.19,0.57,0.96,0.5,False
a227,x1789,0.81,0.39,0.25,0.76,0.51,False
a227,x2609,0.73,0.42,0.42,0.94,0.37,True
a227,x54,0.85,0.25,0.82,0.33,0.68,False
a228,x788,0.55,0.37,0.52,0.62,0.65,True
a228,x2116,0.51,0.41,0.86,0.98,0.96,False
a228,x1200,0.69,0.3,0.65,0.75,0.95,True
a228,x506,0.7,0.27,0.98,0.6,0.69,False
a228,x2630,0.85,0.42,0.49,0.77,0.93,False
a228,x285,0.9,0.3,0.75,0.65,0.82,False
a228,x385,0.76,0.14,0.57,0.63,0.33,True
a228,x420,0.61,0.46,0.35,0.46,0.3,False
a228,x1579,0.55,0.28,0.34,0.51,0.27,False
a228,x630,0.77,0.4,0.83,0.49,0.67,True
a228,x1690,0.73,0.2,0.91,0.94,0.87,False
a228,x267,0.74,0.2,0.46,0.47,0.4,False
a228,x51,0.7,0.36,0.78,0.83,0.65,True
a228,x1791,0.89,0.29,0.32,0.74,0.62,True
a229,x2973,0.8,0.17,0.65,0.33,0.39,True
a229,x938,0.92,0.3,0.33,0.84,0.37,True
a229,x2968,0.55,0.48,0.27,0.61,0.34,False
a229,x2068,0.67,0.31,0.73,0.56,0.69,False
a229,x1965,0.76,0.12,0.81,0.47,0.28,True
a229,x2248,0.87,0.2,0.28,0.35,0.81,False
a229,x2006,0.92,0.11,0.96,0.69,0.67,True
a229,x2262,0.69,0.28,0.42,0.62,0.97,False
a229,x1586,0.95,0.2,0.84,0.32,0.91,False
a229,x214,0.57,0.16,0.61,0.51,0.79,True
a229,x2596,0.77,0.41,0.97,0.91,0.61,False
a229,x2664,0.59,0.45,0.73,0.7,0.57,False
a229,x2538,0.56,0.22,0.32,0.6,0.89,False
a230,x619,0.88,0.18,0.39,0.89,0.34,True
a230,x2139,0.76,0.41,0.45,0.91,0.62,False
a230,x301,0.51,0.1,0.57,0.62,0.32,True
a230,x1948,0.59,0.4,0.28,0.89,0.84,True
a230,x1549,0.95,0.23,0.39,0.74,0.41,False
a230,x876,0.63,0.41,0.35,0.92,0.55,False
a230,x607,0.53,0.43,0.68,0.73,0.98,False
a230,x1319,0.69,0.43,0.38,0.78,0.63,True
a230,x408,0.97,0.34,0.93,0.67,0.43,False
a230,x2571,0.7,0.43,0.58,0.35,0.81,False
a230,x1226,0.5,0.12,0.32,0.45,0.69,False
a230,x469,0.52,0.24,0.62,0.59,0.88,True
a230,x1832,0.93,0.23,0.3,0.47,0.4,True
a230,x1699,0.93,0.25,0.8,0.63,0.97,False
a230,x1693,0.74,0.3,0.2,0.86,0.9,False
a230,x377,0.63,0.16,0.46,0.96,0.22,True
a231,x2255,0.55,0.47,0.6,0.73,0.53,False
a231,x2273,0.58,0.1,0.67,0.5,0.68,True
a231,x1252,0.98,0.11,0.46,0.8,0.74,True
a231,x561,0.59,0.39,0.88,0.82,0.31,False
a231,x1855,0.77,0.26,0.64,0.72,0.96,True
a231,x1961,0.7,0.18,0.54,0.8,0.29,False
a231,x1775,0.73,0.11,0.65,0.74,0.37,False
a231,x221,0.57,0.32,0.83,0.71,0.98,False
a231,x497,0.9,0.33,0.59,0.72,0.91,True
a231,x2587,0.7,0.34,0.21,0.68,0.73,True
a232,x2408,0.65,0.41,0.64,0.68,0.21,True
a232,x1019,0.99,0.19,0.85,0.93,0.49,False
a232,x537,0.66,0.2,0.69,0.92,0.21,False
a232,x535,0.75,0.32,0.61,0.85,0.5,True
a232,x1827,0.59,0.39,0.38,0.75,0.45,False
a232,x329,0.93,0.11,0.32,0.85,0.83,False
a232,x1908,0.96,0.29,0.97,0.63,0.6,False
a232,x1954,0.8,0.11,0.62,0.93,0.42,True
a232,x252,0.94,0.16,0.48,0.69,0.36,False
a232,x2416,0.58,0.37,0.86,0.74,0.37,True
a232,x2072,0.6,0.12,0.82,0.63,0.73,False
a232,x163,0.67,0.29,0.54,0.42,0.89,True
a232,x1144,0.89,0.29,0.72,0.91,0.35,False
a232,x2540,0.59,0.39,0.35,0.67,0.96,False
a232,x877,0.84,0.26,0.87,0.37,0.36,True
a233,x2058,1.0,0.2,0.71,0.67,0.69,True
a233,x297,0.62,0.31,0.97,0.37,0.22,False
a233,x980,0.88,0.16,0.52,0.45,0.43,True
a233,x670,0.63,0.24,0.53,0.7,0.36,False
a233,x1586,0.97,0.39,0.41,0.77,0.22,False
a233,x1931,0.97,0.45,0.68,0.81,0.58,True
a234,x385,0.56,0.27,0.41,0.55,0.76,True
a234,x2578,0.9,0.42,0.25,0.48,0.64,True
a234,x1129,0.59,0.38,0.94,0.42,0.39,True
a234,x1619,0.99,0.42,0.99,0.68,0.75,False
a234,x1886,0.77,0.18,0.65,0.51,0.62,True
a234,x1357,0.92,0.47,0.42,0.78,0.87,True
a235,x2213,0.8,0.26,0.63,0.43,0.69,True
a235,x1667,0.59,0.32,0.62,0.65,0.23,True
a235,x123,0.63,0.25,0.97,0.73,0.76,False
a235,x457,0.77,0.34,0.55,0.66,0.85,False
a235,x1817,0.55,0.22,0.29,0.37,0.61,False
a235,x1503,0.87,0.12,0.85,0.69,0.58,False
a235,x540,0.72,0.29,0.82,0.45,0.21,True
a236,x356,0.98,0.24,0.29,0.32,0.34,False
a236,x1009,0.82,0.26,0.21,0.56,0.57,False
a236,x922,0.87,0.42,0.62,0.63,0.79,True
a236,x2975,0.6,0.43,0.7,0.43,0.72,True
a236,x600,0.69,0.19,0.71,0.51,0.71,True
a236,x189,0.76,0.38,0.75,0.59,0.84,True
a237,x2698,0.77,0.41,0.32,0.88,0.46,True
a237,x806,0.87,0.27,0.46,0.49,0.34,True
a237,x283,0.88,0.45,0.5,0.61,0.85,False
a237,x411,0.66,0.45,0.25,0.84,0.87,True
a237,x2162,0.88,0.37,0.88,0.76,0.34,False
a237,x1898,0.55,0.21,0.22,0.81,0.65,True
a237,x413,0.9,0.48,0.56,0.35,0.58,False
a237,x2669,0.99,0.46,0.78,0.41,0.36,False
a237,x1557,0.74,0.12,0.37,0.34,0.31,False
a237,x2499,0.64,0.25,0.83,0.84,0.99,False
a237,x1551,0.98,0.25,0.5,0.91,0.67,False
a237,x1151,0.98,0.16,0.54,0.76,0.94,False
a237,x2551,0.54,0.22,0.96,0.39,0.46,False
a237,x105,0.82,0.42,0.59,0.44,0.75,False
a238,x2772,0.92,0.29,0.3,0.69,0.57,False
a238,x2738,0.9,0.36,0.32,0.57,0.51,True
a238,x105,0.52,0.48,0.26,0.85,1.0,True
a238,x1419,0.68,0.21,0.93,0.8,0.37,True
a238,x2687,0.58,0.46,0.25,0.68,0.9,False
a238,x465,0.66,0.3,0.53,0.98,0.5,False
a238,x2976,0.92,0.19,0.67,0.74,0.48,False
a238,x454,0.72,0.4,0.81,0.36,0.96,True
a238,x71,0.94,0.21,0.69,0.64,0.22,False
a238,x313,0.7,0.38,0.92,0.39,0.4,True
a238,x2526,0.87,0.12,0.45,0.63,0.35,True
a238,x447,0.66,0.45,0.8,0.54,0.93,True
a238,x903,0.92,0.35,0.86,0.55,0.47,False
a238,x2510,0.69,0.38,0.57,0.39,0.33,False
a238,x2463,0.7,0.42,0.48,0.85,0.76,True
a238,x2678,0.89,0.18,0.58,0.55,0.66,False
a238,x897,0.65,0.13,0.45,0.85,0.78,False
a238,x2528,0.57,0.22,0.68,0.78,0.22,False
a239,x1717,0.74,0.36,0.69,0.88,0.99,False
a239,x884,0.73,0.44,0.48,0.57,0.26,False
a239,x2759,1.0,0.19,0.78,0.76,0.94,True
a239,x1365,0.82,0.28,0.51,0.92,0.66,True
a239,x2306,0.86,0.41,0.67,0.94,0.91,False
a239,x396,0.52,0.34,0.54,0.46,0.62,False
a239,x1838,0.87,0.48,0.8,0.3,0.92,False
a239,x2898,0.85,0.23,0.99,0.9,0.32,True
a239,x1663,0.51,0.44,0.52,0.84,0.3,False
a239,x2099,0.89,0.41,0.29,0.32,0.74,True
a239,x1651,0.84,0.35,0.66,0.76,0.32,False
a239,x782,0.84,0.18,0.46,0.74,0.63,True
a239,x1989,0.65,0.22,0.39,0.96,0.22,True
a239,x883,0.79,0.47,0.84,0.89,0.28,True
a239,x1048,0.85,0.24,0.99,0.46,0.42,False
a239,x2007,0.82,0.4,0.53,0.91,0.5,False
a239,x957,0.86,0.31,0.53,0.62,0.29,True
a239,x267,0.66,0.32,0.59,0.73,0.32,False
a239,x1725,0.78,0.43,0.95,0.79,0.29,False
a239,x2652,0.92,0.39,0.26,0.75,0.6,False
a240,x1417,0.98,0.44,0.4,0.74,0.44,True
a240,x111,0.87,0.45,0.31,0.6,0.71,False
a240,x2981,0.65,0.27,0.55,0.68,0.35,True
a240,x1419,0.55,0.35,0.68,0.68,0.25,True
a240,x1503,0.85,0.16,0.25,0.44,0.79,False
a240,x928,0.52,0.13,0.51,0.72,0.71,False
a240,x2480,0.62,0.44,0.54,0.85,0.84,True
a240,x2723,0.63,0.27,0.68,0.93,0.65,False
a240,x1851,0.68,0.32,0.87,0.31,0.59,False
a240,x1194,0.73,0.19,0.21,0.56,0.24,True
a240,x1651,0.75,0.45,0.88,0.65,0.53,True
a240,x1974,0.69,0.36,0.84,0.9,0.95,True
a240,x1007,0.82,0.21,0.4,0.71,0.45,True
a240,x1186,0.66,0.22,0.62,0.78,0.91,True
a240,x1864,0.52,0.16,0.69,0.77,0.77,False
a241,x45,0.8,0.38,0.97,0.97,0.31,True
a241,x2332,0.68,0.43,0.3,0.5,0.53,True
a241,x1195,0.56,0.34,0.73,0.59,0.79,False
a241,x1902,0.55,0.46,0.42,0.78,0.4,True
a241,x2322,0.73,0.13,0.94,0.66,0.56,True
a241,x1120,0.77,0.46,0.56,0.92,0.32,False
a241,x2071,0.86,0.34,0.23,0.81,0.85,False
a241,x2607,0.53,0.36,0.68,0.5,0.27,False
a241,x2997,0.66,0.26,0.35,0.32,0.45,True
a241,x2801,0.64,0.49,0.34,0.56,0.24,True
a241,x1449,0.69,0.39,0.4,0.45,0.27,True
a241,x1167,0.56,0.17,0.38,0.42,0.47,False
a241,x420,0.76,0.38,0.83,0.92,0.77,False
a241,x1984,0.86,0.49,0.45,0.52,0.44,False
a241,x567,0.77,0.2,0.86,0.66,0.9,True
a242,x1266,0.54,0.25,0.35,0.98,0.21,True
a242,x836,0.84,0.42,0.44,0.62,0.58,True
a242,x2564,0.84,0.28,0.57,0.83,0.82,True
a242,x57,0.53,0.2,0.33,0.77,0.56,True
a242,x2359,0.89,0.24,0.71,0.87,0.51,False
a242,x960,0.89,0.24,0.91,0.84,0.76,False
a242,x1849,0.71,0.28,0.43,0.57,0.44,True
a242,x2187,0.72,0.48,0.62,0.93,0.49,True
a242,x587,0.96,0.49,0.38,0.34,0.57,True
a242,x2855,0.97,0.15,0.53,0.58,0.85,True
a243,x2703,0.66,0.42,0.81,0.66,0.54,False
a243,x2938,0.61,0.31,0.54,0.31,0.82,True
a243,x2741,0.87,0.3,0.6,0.33,0.97,False
a243,x61,0.72,0.5,0.71,0.45,0.34,True
a243,x89,0.66,0.12,0.87,0.52,0.24,False
a243,x570,0.95,0.21,0.52,0.35,0.6,False
a243,x2645,0.74,0.34,0.51,0.79,0.3,True
a243,x2147,0.92,0.21,0.71,0.89,0.86,True
a243,x2620,0.92,0.42,0.3,0.84,0.34,True
a243,x2837,0.68,0.26,0.86,0.36,0.36,False
a243,x576,0.57,0.49,0.72,0.54,0.81,False
a243,x1680,0.83,0.2,0.85,0.34,0.78,True
a243,x2526,0.56,0.18,0.37,0.54,0.35,False
a243,x362,0.54,0.32,0.71,0.92,0.72,False
a243,x1210,0.87,0.44,0.53,0.37,0.99,False
a243,x2576,0.6,0.31,0.67,0.91,0.35,False
a243,x45,0.52,0.34,0.41,0.87,0.4,False
a243,x1408,0.91,0.34,0.82,0.81,0.67,False
a243,x2709,0.81,0.38,0.98,0.39,0.46,True
a243,x39,0.58,0.49,0.42,0.7,0.33,False
a244,x881,0.72,0.33,0.4,0.93,0.77,False
a244,x2856,0.79,0.39,0.84,0.51,0.41,True
a244,x1531,0.51,0.35,0.26,0.85,0.31,True
a244,x1994,0.87,0.42,0.59,0.46,0.73,True
a244,x778,0.55,0.46,0.7,0.74,0.68,False
a244,x266,0.89,0.3,0.47,0.91,0.29,True
a244,x1614,0.51,0.47,0.32,0.82,0.78,False
a244,x2314,0.96,0.42,0.49,0.46,0.89,False
a244,x2631,0.92,0.16,0.67,0.87,0.78,True
a244,x1563,0.86,0.27,0.72,0.49,0.29,True
a244,x1367,0.65,0.35,0.53,0.83,0.73,False
a245,x2668,0.99,0.28,0.66,0.65,0.31,False
a245,x2351,0.69,0.22,0.86,0.57,0.45,True
a245,x444,0.89,0.36,0.51,0.84,0.25,False
a245,x2891,0.98,0.44,0.83,0.61,0.66,False
a245,x772,0.68,0.36,0.77,0.39,0.36,False
a245,x1742,0.7,0.19,0.78,0.43,0.61,False
a245,x851,0.57,0.29,0.76,0.68,0.29,False
a245,x930,0.85,0.21,0.58,0.8,0.73,False
a245,x1138,0.99,0.2,0.29,0.87,0.9,True
a246,x2490,0.78,0.25,0.66,0.93,0.36,True
a246,x1457,0.87,0.27,0.32,0.66,0.81,False
a246,x307,0.95,0.13,0.96,0.89,0.84,True
a246,x2425,0.58,0.45,0.96,0.37,0.52,True
a246,x857,0.97,0.43,0.58,0.47,0.83,True
a246,x2616,0.68,0.21,0.61,0.98,0.77,False
a246,x1027,0.93,0.19,0.42,0.55,0.82,True
a247,x1892,0.64,0.42,0.61,0.66,0.41,False
a247,x2212,0.97,0.33,0.39,0.82,0.47,False
a247,x623,0.83,0.2,0.67,0.39,0.29,False
a247,x642,0.96,0.28,0.65,0.6,0.41,True
a247,x854,0.72,0.23,0.59,0.77,0.95,True
a247,x2316,0.59,0.23,0.32,0.84,0.51,False
a247,x542,0.61,0.49,0.69,0.9,0.87,False
a247,x1450,0.53,0.23,0.85,0.44,1.0,False
a247,x2563,0.7,0.44,0.37,0.75,0.48,True
a248,x684,0.78,0.34,0.36,0.82,0.26,False
a248,x1900,0.88,0.1,0.44,0.68,0.33,False
a248,x1254,0.89,0.26,0.48,0.78,0.44,False
a248,x731,0.52,0.37,0.26,0.67,0.67,True
a248,x1140,0.85,0.36,0.32,0.73,0.26,False
a248,x1647,0.88,0.49,0.8,0.54,0.31,True
a248,x1405,0.78,0.46,0.76,0.5,0.49,False
a248,x214,0.54,0.13,0.78,0.7,0.9,False
a248,x1430,0.66,0.13,0.39,0.35,0.85,False
a249,x1732,0.97,0.28,0.96,0.66,0.22,True
a249,x1710,0.9,0.23,0.42,0.61,0.37,True
a249,x1154,0.58,0.35,0.93,0.69,0.26,False
a249,x306,0.89,0.45,0.35,0.44,0.65,True
a249,x343,0.62,0.46,0.98,0.4,0.35,False
a250,x789,0.89,0.36,0.46,0.43,0.38,True
a250,x491,0.88,0.26,0.52,0.75,0.84,True
a250,x32,0.98,0.49,0.5,0.9,0.96,True
a250,x2318,0.58,0.2,0.89,0.96,0.64,True
a250,x2358,0.75,0.2,0.49,0.67,0.53,False
a250,x1268,0.97,0.25,0.35,0.7,0.26,True
a250,x519,0.54,0.32,0.52,0.88,0.42,False
a250,x2520,0.74,0.36,0.3,0.96,0.56,False
a250,x871,0.94,0.45,0.61,0.63,0.6,False
a250,x2357,0.67,0.44,0.23,0.59,0.7,False
a250,x1286,0.66,0.46,0.33,0.53,0.71,False
a250,x1566,0.52,0.12,0.56,0.97,0.49,True
a250,x2451,0.54,0.3,0.33,0.5,0.91,False
a251,x741,0.66,0.13,0.66,0.33,0.48,True
a251,x860,0.55,0.41,0.59,0.43,0.76,False
a251,x2228,0.66,0.34,0.75,0.43,0.79,False
a251,x41,0.87,0.35,0.54,0.3,0.76,True
a251,x49,0.55,0.17,0.96,0.76,0.44,False
a251,x415,0.82,0.14,0.99,0.31,0.72,True
a251,x2436,0.6,0.47,0.72,0.93,0.47,True
a252,x457,0.8,0.16,0.56,0.43,0.43,False
a252,x537,0.97,0.48,0.97,0.33,0.81,True
a252,x2849,0.97,0.18,0.3,0.75,0.64,False
a252,x1555,0.69,0.14,0.97,0.86,0.25,False
a252,x2145,0.59,0.11,0.84,0.46,0.65,True
a252,x1128,0.92,0.28,0.24,0.53,0.79,True
a252,x873,0.68,0.47,0.85,0.85,0.28,True
a252,x903,0.9,0.3,0.83,0.72,0.21,False
a252,x1137,0.97,0.43,0.98,0.9,0.54,False
a252,x2735,0.81,0.49,0.25,0.91,0.26,True
a252,x386,0.87,0.19,0.43,0.78,0.96,True
a252,x2578,0.83,0.17,0.36,0.93,0.96,True
a252,x2580,0.51,0.45,0.25,0.56,0.26,False
a252,x1169,0.87,0.13,0.89,0.9,0.55,True
